ガスター散２％
ムコダイン錠５００ｍｇ
プレドニゾロン錠　１ｍｇ
アリセプト錠３ｍｇ
アリセプト錠５ｍｇ
ジスロマック錠２５０ｍｇ
タミフルカプセル７５　７５ｍｇ
ムコダイン錠２５０ｍｇ
タミフルドライシロップ３％
ナトリックス錠１　１ｍｇ
アセトアミノフェン
リズミック錠１０ｍｇ
アスベリン錠２０　２０ｍｇ
メジコン錠１５ｍｇ
酸化マグネシウム
炭酸水素ナトリウム
沈降炭酸カルシウム
ミヤＢＭ錠
プレドニゾロン錠　５ｍｇ
プレドニゾロン
プレドニン錠５ｍｇ
トランサミン錠５００ｍｇ
ワーファリン錠１ｍｇ
サワシリン錠２５０　２５０ｍｇ
カプセル
単シロップ
ノボラピッド３０ミックス注　フレックスペン　３００単位
白色ワセリン「ケンエー」
ビソプロロールフマル酸塩５ｍｇ錠
カロナール錠２００　２００ｍｇ
ワーファリン錠０．５ｍｇ
アスベリン散１０％
アンヒバ坐剤小児用５０ｍｇ
アンヒバ坐剤小児用１００ｍｇ
アンヒバ坐剤小児用２００ｍｇ
ニフェジピンＣＲ錠２０ｍｇ「サワイ」
ニフェジピンＣＲ錠４０ｍｇ「サワイ」
フロセミド錠１０ｍｇ「ＮＰ」
フロセミド錠２０ｍｇ「ＮＰ」
フロセミド錠４０ｍｇ「ＮＰ」
フロセミド注２０ｍｇ「トーワ」
クラシエ芍薬甘草湯エキス細粒
プランルカストＤＳ１０％「日医工」
デルモゾールＤＰ軟膏０．０６４％
メサデルム軟膏０．１％
メサデルムローション０．１％
レスタミンコーワクリーム１％
ロキソニンテープ５０ｍｇ　７ｃｍ×１０ｃｍ
ロキソニンテープ１００ｍｇ　１０ｃｍ×１４ｃｍ
アムロジピン錠２．５ｍｇ「トーワ」
アムロジピン錠５ｍｇ「トーワ」
アンテベートクリーム０．０５％
アンテベート軟膏０．０５％
ヒルドイドクリーム０．３％
ヒルドイドソフト軟膏０．３％
ロコイド軟膏０．１％
プランルカスト錠１１２．５ｍｇ「ＡＦＰ」
ランソプラゾールＯＤ錠１５ｍｇ「トーワ」
ランソプラゾールＯＤ錠３０ｍｇ「トーワ」
レバミピド錠１００ｍｇ「あすか」
ロキソニン錠６０ｍｇ
アゾセミド錠６０ｍｇ「ＪＧ」
フスコデ配合錠
メジコン配合シロップ
ムコスタ錠１００ｍｇ
プルゼニド錠１２ｍｇ
ＳＰトローチ０．２５ｍｇ「明治」
チラーヂンＳ錠５０μｇ
チラーヂンＳ錠２５μｇ
尿素クリーム２０％「ＳＵＮ」
フェロ・グラデュメット錠１０５ｍｇ
クエン酸第一鉄Ｎａ錠５０ｍｇ「サワイ」　鉄５０ｍｇ
オーグメンチン配合錠２５０ＲＳ　（３７５ｍｇ）
カルベジロール錠１０ｍｇ「サワイ」
アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ
ムコダインＤＳ５０％
ロキソニンゲル１％
イナビル吸入粉末剤２０ｍｇ
グリメピリド錠０．５ｍｇ「三和」
ドプスＯＤ錠１００ｍｇ
ドプスＯＤ錠２００ｍｇ
トラゼンタ錠５ｍｇ
カリメート経口液２０％　２５ｇ
アムロジピン錠１０ｍｇ「トーワ」
アゾセミド錠３０ｍｇ「ＪＧ」
チラーヂンＳ錠１２．５μｇ
オロパタジン塩酸塩錠５ｍｇ「明治」
シロスタゾールＯＤ錠５０ｍｇ「タカタ」
ピタバスタチンカルシウム錠２ｍｇ「ＺＥ」
アジスロマイシン小児用細粒１０％「タカタ」　１００ｍｇ
フルティフォーム１２５エアゾール５６吸入用
ピタバスタチンＣａ錠１ｍｇ「トーワ」
ピタバスタチンＣａ錠２ｍｇ「トーワ」
ピタバスタチンＣａ錠４ｍｇ「トーワ」
リオナ錠２５０ｍｇ
ビソプロロールフマル酸塩錠０．６２５ｍｇ「トーワ」
フォシーガ錠１０ｍｇ
カルベジロール錠２．５ｍｇ「サワイ」
レルベア１００エリプタ３０吸入用
レルベア２００エリプタ３０吸入用
カロナール錠５００　５００ｍｇ
ジャディアンス錠１０ｍｇ
ジャディアンス錠２５ｍｇ
ムコソルバンＬ錠４５ｍｇ
クロピドグレル錠２５ｍｇ「杏林」
クロピドグレル錠７５ｍｇ「杏林」
インスリン　グラルギンＢＳ注ミリオペン「リリー」　３００単位
メトホルミン塩酸塩錠２５０ｍｇＭＴ「トーワ」
トルリシティ皮下注０．７５ｍｇアテオス　０．５ｍＬ
メトホルミン塩酸塩錠５００ｍｇＭＴ「トーワ」
ライゾデグ配合注　フレックスタッチ　３００単位
モンテルカスト錠１０ｍｇ「ＫＭ」
テルミサルタン錠２０ｍｇ「ＤＳＥＰ」
テルミサルタン錠４０ｍｇ「ＤＳＥＰ」
テルミサルタン錠８０ｍｇ「ＤＳＥＰ」
モンテルカスト細粒４ｍｇ「ＤＳＥＰ」
モンテルカストチュアブル錠５ｍｇ「トーワ」
コムクロシャンプー０．０５％
ホスレノールＯＤ錠２５０ｍｇ
ホスレノールＯＤ錠５００ｍｇ
グーフィス錠５ｍｇ
オルメサルタンＯＤ錠４０ｍｇ「ＤＳＥＰ」
トラディアンス配合錠ＢＰ
テリルジー１００エリプタ１４吸入用
アレジオンＬＸ点眼液０．１％
レボセチリジン塩酸塩錠５ｍｇ「フェルゼン」
レボセチリジン塩酸塩ＤＳ０．５％「タカタ」
リマプロスト　アルファデクス５μｇ錠
ボグリボース０．３ｍｇ錠
コレクチム軟膏０．５％
レパグリニド錠０．２５ｍｇ「サワイ」
ダーブロック錠１ｍｇ
ダーブロック錠２ｍｇ
ダーブロック錠４ｍｇ
ダーブロック錠６ｍｇ
エンレスト錠５０ｍｇ
エンレスト錠１００ｍｇ
エンレスト錠２００ｍｇ
ビラノアＯＤ錠２０ｍｇ
モイゼルト軟膏１％
ツイミーグ錠５００ｍｇ
レベチラセタム錠２５０ｍｇ「トーワ」
レベチラセタム錠５００ｍｇ「トーワ」
フェブキソスタット錠１０ｍｇ「ＤＳＥＰ」
フェブキソスタット錠２０ｍｇ「ＤＳＥＰ」
フェブキソスタット錠４０ｍｇ「ＤＳＥＰ」
マンジャロ皮下注２．５ｍｇアテオス　０．５ｍＬ
マンジャロ皮下注５ｍｇアテオス　０．５ｍＬ
マンジャロ皮下注７．５ｍｇアテオス　０．５ｍＬ
マンジャロ皮下注１０ｍｇアテオス　０．５ｍＬ
マンジャロ皮下注１２．５ｍｇアテオス　０．５ｍＬ
マンジャロ皮下注１５ｍｇアテオス　０．５ｍＬ
パルモディアＸＲ錠０．２ｍｇ
パルモディアＸＲ錠０．４ｍｇ
リベルサス錠３ｍｇ
リベルサス錠７ｍｇ
リベルサス錠１４ｍｇ
インスリン　アスパルトＢＳ注ソロスターＮＲ「サノフィ」３００単位
アウィクリ注　フレックスタッチ　総量３００単位
トルリシティ皮下注１．５ｍｇアテオス　０．５ｍＬ
アウィクリ注　フレックスタッチ　総量７００単位
ホクナリンテープ０．５ｍｇ
ホクナリンテープ１ｍｇ
ホクナリンテープ２ｍｇ
アンテベートローション０．０５％
